Brand,Source,Status,Relevance,Origin,Holder,Holder Country,Number,App. Date,Image class,Nice CI.,Image
SMARTSREDA,WO TM,Pending,8,RU,"Obshchestvo s ogranichennoy otvetstvennostyu ""MARKETPLACE SREDA""",RU,8190,2020-08-26,,"6, 7, 19, 20, 21, 28, 35, 40",
Alps Hotel,WO TM,Pending,8,CH,Swiss Hospitality Holding S.A.,CH,6120,2020-08-06,,35,
ALPS HOTEL,WO TM,Pending,8,CH,Swiss Hospitality Holding S.A.,CH,6119,2020-08-06,"VC.01.01, VC.06.01, VC.29.01","41, 43",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=MAD_PEND.13757402&TYPE=jpg&qi=1-WWA6WkdyQWMEE/IbIAIozohzIXsQJ4cZ65toYFiitXs=
SPDS,WO TM,Pending,8,RU,"LIMITED LIABILITY COMPANY ""SISTEMY PODDERZHANIA STERILNOSTI""",RU,4890,2020-07-21,"VC.05.03, VC.29.01","10, 11, 16, 35, 37, 42",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=MAD_PEND.13732558&TYPE=jpg&qi=1-WWA6WkdyQWMEE/IbIAIozohzIXsQJ4cZ65toYFiitXs=
FLOBY,WO TM,Pending,8,TR,AKTİF BİLİM EĞİTİM ORGANİZASYON VE İNŞAAT ANONİM ŞİRKETİ,TR,4376,2020-07-13,"VC.26.11, VC.27.05, VC.29.01","27, 28",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=MAD_PEND.13689608&TYPE=jpg&qi=1-WWA6WkdyQWMEE/IbIAIozohzIXsQJ4cZ65toYFiitXs=
NOVINKA,WO TM,Pending,8,RU,«BUM-BAS» LLC,RU,2145,2020-05-21,"VC.25.05, VC.25.07, VC.26.04, VC.26.13, VC.28.05, VC.29.01","16, 35",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=MAD_PEND.13554015&TYPE=jpg&qi=1-WWA6WkdyQWMEE/IbIAIozohzIXsQJ4cZ65toYFiitXs=
UNO,KZ TM,Active,8,KZ,Товарищество с ограниченной ответственностью «Универсал Кетринг»,KZ,95129,2020-02-11,,"13, 23, 37, 39, 45",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.95129&IMG=51/29/95129-th.jpg&TYPE=jpg&qi=1-WWA6WkdyQWMEE/IbIAIozohzIXsQJ4cZ65toYFiitXs=
Exclusiv Qurlys ключи от новой жизни,KZ TM,Active,8,KZ,Товарищество с ограниченной ответственностью «Exclusive Invest»,KZ,94362,2020-02-07,"VC.26.04, VC.29.01","37, 38, 39",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94362&IMG=43/62/94362-th.jpg&TYPE=jpg&qi=1-WWA6WkdyQWMEE/IbIAIozohzIXsQJ4cZ65toYFiitXs=
KRAM tech,KZ TM,Active,8,KZ,Товарищество с ограниченной ответственностью «KRAMTECH»,KZ,94945,2020-01-31,,"11, 37, 40, 44",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94945&IMG=49/45/94945-th.jpg&TYPE=jpg&qi=1-WWA6WkdyQWMEE/IbIAIozohzIXsQJ4cZ65toYFiitXs=
PRODENT smile is simple,KZ TM,Active,8,KZ,Товарищество с ограниченной ответственностью «PRODENT»,KZ,94922,2020-01-30,"VC.26.01, VC.26.11",,https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94922&IMG=49/22/94922-th.jpg&TYPE=jpg&qi=1-WWA6WkdyQWMEE/IbIAIozohzIXsQJ4cZ65toYFiitXs=
ER SHOGY,KZ TM,Active,8,KZ,Товарищество с ограниченной ответственностью «ER SHOGY»,KZ,94886,2020-01-28,VC.24.15,"37, 39, 43",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94886&IMG=48/86/94886-th.jpg&TYPE=jpg&qi=1-WWA6WkdyQWMEE/IbIAIozohzIXsQJ4cZ65toYFiitXs=
JANUYA SU,KZ TM,Active,8,KZ,Индивидуальный предприниматель «Mandarin»,KZ,94871,2020-01-28,,34,https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94871&IMG=48/71/94871-th.jpg&TYPE=jpg&qi=1-WWA6WkdyQWMEE/IbIAIozohzIXsQJ4cZ65toYFiitXs=
MARINE HEALTH GROUP,KZ TM,Active,8,KZ,Товарищество с ограниченной ответственностью «MARINE HEALTH GROU...,KZ,94840,2020-01-24,,"5, 7, 37",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94840&IMG=48/40/94840-th.jpg&TYPE=jpg&qi=1-WWA6WkdyQWMEE/IbIAIozohzIXsQJ4cZ65toYFiitXs=
КОШКИН ДОМ,KZ TM,Active,8,KZ,Стаховец Татьяна Евгеньевна,KZ,94843,2020-01-24,,"37, 45",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94843&IMG=48/43/94843-th.jpg&TYPE=jpg&qi=1-WWA6WkdyQWMEE/IbIAIozohzIXsQJ4cZ65toYFiitXs=
XAN SHAPAN,KZ TM,Active,8,KZ,Индивидуальный предприниматель «Стиль»,KZ,94835,2020-01-24,,"27, 28, 37",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94835&IMG=48/35/94835-th.jpg&TYPE=jpg&qi=1-WWA6WkdyQWMEE/IbIAIozohzIXsQJ4cZ65toYFiitXs=
No Verbal Elements,KZ TM,Active,8,KZ,Товарищество с ограниченной ответственностью «Садыхан Социальная...,KZ,94824,2020-01-23,,"7, 37",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94824&IMG=48/24/94824-th.jpg&TYPE=jpg&qi=1-WWA6WkdyQWMEE/IbIAIozohzIXsQJ4cZ65toYFiitXs=
SHELL,KZ TM,Active,8,KZ,Шелл Брэндс Интернешнл АГ,CH,94832,2020-01-23,,"6, 11, 39, 41",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94832&IMG=48/32/94832-th.jpg&TYPE=jpg&qi=1-WWA6WkdyQWMEE/IbIAIozohzIXsQJ4cZ65toYFiitXs=
MG PARTNERS,KZ TM,Active,8,KZ,Товарищество с ограниченной ответственностью «MG Partners»,KZ,94812,2020-01-22,,"37, 38",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94812&IMG=48/12/94812-th.jpg&TYPE=jpg&qi=1-WWA6WkdyQWMEE/IbIAIozohzIXsQJ4cZ65toYFiitXs=
A,KZ TM,Active,8,KZ,Товарищество с ограниченной ответственностью «SMB-HERMES»,KZ,94797,2020-01-22,,"34, 35, 37, 45",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94797&IMG=47/97/94797-th.jpg&TYPE=jpg&qi=1-WWA6WkdyQWMEE/IbIAIozohzIXsQJ4cZ65toYFiitXs=
AUSTEDO,KZ TM,Active,8,KZ,"Оспэкс Фармасьютикалс, Инк.",,94795,2020-01-22,,7,https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94795&IMG=47/95/94795-th.jpg&TYPE=jpg&qi=1-WWA6WkdyQWMEE/IbIAIozohzIXsQJ4cZ65toYFiitXs=
FORNARINA,KZ TM,Active,8,KZ,Товарищество с ограниченной ответственностью «RMS GROUP»,KZ,94794,2020-01-22,,"37, 45",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94794&IMG=47/94/94794-th.jpg&TYPE=jpg&qi=1-WWA6WkdyQWMEE/IbIAIozohzIXsQJ4cZ65toYFiitXs=
RADIANT,KZ TM,Active,8,KZ,"Доу АгроСайансиз ЛЛК, компания штата Дэлавер с ограниченной отве...",,94734,2020-01-20,,7,https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94734&IMG=47/34/94734-th.jpg&TYPE=jpg&qi=1-WWA6WkdyQWMEE/IbIAIozohzIXsQJ4cZ65toYFiitXs=
РАДИАНТ,KZ TM,Active,8,KZ,"Доу АгроСайансиз ЛЛК, компания штата Дэлавер с ограниченной отве...",,94733,2020-01-20,,7,https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94733&IMG=47/33/94733-th.jpg&TYPE=jpg&qi=1-WWA6WkdyQWMEE/IbIAIozohzIXsQJ4cZ65toYFiitXs=
Hausberg,KZ TM,Active,8,KZ,Товарищество с ограниченной ответственностью «QAZ GOLDMAN»,KZ,94729,2020-01-20,,"9, 13, 23",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94729&IMG=47/29/94729-th.jpg&TYPE=jpg&qi=1-WWA6WkdyQWMEE/IbIAIozohzIXsQJ4cZ65toYFiitXs=
Austedo,KZ TM,Active,8,KZ,"Оспэкс Фармасьютикалс, Инк.",,94728,2020-01-20,,7,https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94728&IMG=47/28/94728-th.jpg&TYPE=jpg&qi=1-WWA6WkdyQWMEE/IbIAIozohzIXsQJ4cZ65toYFiitXs=
Kinderly play & learn,KZ TM,Active,8,KZ,Товарищество с ограниченной ответственностью «ИНЖЕНЕРНАЯ КОМПАНИ...,KZ,94726,2020-01-20,"VC.26.04, VC.24.15","27, 30, 43",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94726&IMG=47/26/94726-th.jpg&TYPE=jpg&qi=1-WWA6WkdyQWMEE/IbIAIozohzIXsQJ4cZ65toYFiitXs=
Lorflex Лорфлекс,KZ TM,Active,8,KZ,Товарищество с ограниченной ответственностью «Pharmaline»,KZ,94757,2020-01-20,,7,https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94757&IMG=47/57/94757-th.jpg&TYPE=jpg&qi=1-WWA6WkdyQWMEE/IbIAIozohzIXsQJ4cZ65toYFiitXs=
MARY KAY DAILY BENEFITS,KZ TM,Active,8,KZ,Мэри Кей Инк.,,94756,2020-01-20,,5,https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94756&IMG=47/56/94756-th.jpg&TYPE=jpg&qi=1-WWA6WkdyQWMEE/IbIAIozohzIXsQJ4cZ65toYFiitXs=
ZooMixx РАХАТ,KZ TM,Active,8,KZ,Акционерное общество «Рахат»,KZ,94700,2020-01-17,,"31, 32",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94700&IMG=47/00/94700-th.jpg&TYPE=jpg&qi=1-WWA6WkdyQWMEE/IbIAIozohzIXsQJ4cZ65toYFiitXs=
ALIANA,KZ TM,Active,8,KZ,Умбеталиева Салтанат Мухтархановна,KZ,94715,2020-01-17,,"22, 26, 27",https://www3.wipo.int/branddb/jsp/data.jsp?KEY=KZTM.94715&IMG=47/15/94715-th.jpg&TYPE=jpg&qi=1-WWA6WkdyQWMEE/IbIAIozohzIXsQJ4cZ65toYFiitXs=
